,stop_id_old,stop_code_old,stop_name_old,stop_desc_old,stop_lat,stop_lon,zone_id_old,stop_url_old,location_type_old,parent_station_old,wheelchair_boarding_old,stop_id_new,stop_code_new,stop_name_new,stop_desc_new,zone_id_new,stop_url_new,location_type_new,parent_station_new,wheelchair_boarding_new
129,70136,70136.0,Babcock Street - Inbound,,42.351820000000004,-71.12165,,,0.0,place-babck,0.0,70137,70137.0,Babcock Street - Outbound,,,,0.0,place-babck,2.0
130,70136,70136.0,Babcock Street - Inbound,,42.351820000000004,-71.12165,,,0.0,place-babck,0.0,place-babck,,Babcock Street,,,,1.0,,2.0
131,70137,70137.0,Babcock Street - Outbound,,42.351820000000004,-71.12165,,,0.0,place-babck,0.0,70136,70136.0,Babcock Street - Inbound,,,,0.0,place-babck,2.0
132,70137,70137.0,Babcock Street - Outbound,,42.351820000000004,-71.12165,,,0.0,place-babck,0.0,70137,70137.0,Babcock Street - Outbound,,,,0.0,place-babck,2.0
133,70137,70137.0,Babcock Street - Outbound,,42.351820000000004,-71.12165,,,0.0,place-babck,0.0,place-babck,,Babcock Street,,,,1.0,,2.0
134,place-bbsta,,Back Bay,,42.34735,-71.075727,,,1.0,,1.0,176,176.0,Dartmouth St opp Back Bay Sta,,,,0.0,place-bbsta,1.0
135,place-bbsta,,Back Bay,,42.34735,-71.075727,,,1.0,,1.0,23391,23391.0,Back Bay Station,,,,0.0,place-bbsta,1.0
136,place-bbsta,,Back Bay,,42.34735,-71.075727,,,1.0,,1.0,70014,70014.0,Back Bay - Outbound,,,,0.0,place-bbsta,1.0
137,place-bbsta,,Back Bay,,42.34735,-71.075727,,,1.0,,1.0,70015,70015.0,Back Bay - Inbound,,,,0.0,place-bbsta,1.0
138,place-bbsta,,Back Bay,,42.34735,-71.075727,,,1.0,,1.0,place-bbsta,,Back Bay,,,,1.0,,1.0
139,11384,11384.0,Dartmouth St @ Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,176,176.0,Dartmouth St opp Back Bay Sta,,,,0.0,place-bbsta,1.0
140,11384,11384.0,Dartmouth St @ Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,23391,23391.0,Back Bay Station,,,,0.0,place-bbsta,1.0
141,11384,11384.0,Dartmouth St @ Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,70014,70014.0,Back Bay - Outbound,,,,0.0,place-bbsta,1.0
142,11384,11384.0,Dartmouth St @ Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,70015,70015.0,Back Bay - Inbound,,,,0.0,place-bbsta,1.0
143,11384,11384.0,Dartmouth St @ Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,place-bbsta,,Back Bay,,,,1.0,,1.0
144,176,176.0,Dartmouth St opp Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,176,176.0,Dartmouth St opp Back Bay Sta,,,,0.0,place-bbsta,1.0
145,176,176.0,Dartmouth St opp Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,23391,23391.0,Back Bay Station,,,,0.0,place-bbsta,1.0
146,176,176.0,Dartmouth St opp Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,70014,70014.0,Back Bay - Outbound,,,,0.0,place-bbsta,1.0
147,176,176.0,Dartmouth St opp Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,70015,70015.0,Back Bay - Inbound,,,,0.0,place-bbsta,1.0
148,176,176.0,Dartmouth St opp Back Bay Sta,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,place-bbsta,,Back Bay,,,,1.0,,1.0
149,23391,23391.0,Back Bay Station,,42.34735,-71.075727,,,0.0,place-bbsta,0.0,176,176.0,Dartmouth St opp Back Bay Sta,,,,0.0,place-bbsta,1.0
